Entity,Day,Average surface temperature
Afghanistan,1/15/1940,-2.0325322
Afghanistan,2/15/1940,-0.7334933
Afghanistan,3/15/1940,1.999123
Afghanistan,4/15/1940,10.19974
Afghanistan,5/15/1940,17.942116
Afghanistan,6/15/1940,23.203463
Afghanistan,7/15/1940,24.44149
Afghanistan,8/15/1940,22.05814
Afghanistan,9/15/1940,17.721264
Afghanistan,10/15/1940,13.730228
Afghanistan,11/15/1940,6.214725
Afghanistan,12/15/1940,1.1877007
Afghanistan,1/15/1941,-2.640086
Afghanistan,2/15/1941,2.699739
Afghanistan,3/15/1941,7.086429
Afghanistan,4/15/1941,12.958556
Afghanistan,5/15/1941,20.38691
Afghanistan,6/15/1941,24.670979
Afghanistan,7/15/1941,25.4258
Afghanistan,8/15/1941,24.78026
Afghanistan,9/15/1941,19.08962
Afghanistan,10/15/1941,15.992152
Afghanistan,11/15/1941,7.2807555
Afghanistan,12/15/1941,2.1654637
Afghanistan,1/15/1942,-0.6649993
Afghanistan,2/15/1942,0.6776058
Afghanistan,3/15/1942,7.3221245
Afghanistan,4/15/1942,13.780074
Afghanistan,5/15/1942,20.0361
Afghanistan,6/15/1942,23.265217
Afghanistan,7/15/1942,25.82769
Afghanistan,8/15/1942,23.411306
Afghanistan,9/15/1942,19.149914
Afghanistan,10/15/1942,14.236045
Afghanistan,11/15/1942,8.495133
Afghanistan,12/15/1942,-0.9113618
Afghanistan,1/15/1943,-3.443143
Afghanistan,2/15/1943,-1.1609901
Afghanistan,3/15/1943,5.274423
Afghanistan,4/15/1943,9.450016
Afghanistan,5/15/1943,16.141294
Afghanistan,6/15/1943,22.049057
Afghanistan,7/15/1943,25.374462
Afghanistan,8/15/1943,23.290943
Afghanistan,9/15/1943,19.074347
Afghanistan,10/15/1943,12.436347
Afghanistan,11/15/1943,6.751281
Afghanistan,12/15/1943,3.0586889
Afghanistan,1/15/1944,-1.367763
Afghanistan,2/15/1944,0.37299162
Afghanistan,3/15/1944,6.714993
Afghanistan,4/15/1944,12.43855
Afghanistan,5/15/1944,19.131227
Afghanistan,6/15/1944,22.970312
Afghanistan,7/15/1944,26.735994
Afghanistan,8/15/1944,24.109295
Afghanistan,9/15/1944,17.885263
Afghanistan,10/15/1944,12.72332
Afghanistan,11/15/1944,7.1036296
Afghanistan,12/15/1944,-3.0940795
Afghanistan,1/15/1945,-4.701327
Afghanistan,2/15/1945,-2.698495
Afghanistan,3/15/1945,4.8124814
Afghanistan,4/15/1945,10.975628
Afghanistan,5/15/1945,16.67435
Afghanistan,6/15/1945,22.262775
Afghanistan,7/15/1945,24.700983
Afghanistan,8/15/1945,24.265118
Afghanistan,9/15/1945,19.633867
Afghanistan,10/15/1945,13.850509
Afghanistan,11/15/1945,7.179165
Afghanistan,12/15/1945,-0.55637246
Afghanistan,1/15/1946,-2.629968
Afghanistan,2/15/1946,1.495878
Afghanistan,3/15/1946,5.3353367
Afghanistan,4/15/1946,15.289376
Afghanistan,5/15/1946,21.126875
Afghanistan,6/15/1946,23.291824
Afghanistan,7/15/1946,25.316736
Afghanistan,8/15/1946,23.195324
Afghanistan,9/15/1946,18.943672
Afghanistan,10/15/1946,14.840065
Afghanistan,11/15/1946,4.8499637
Afghanistan,12/15/1946,-1.790764
Afghanistan,1/15/1947,-2.51729
