country,Date,Currency(USD)
SRILANKA,2018-06-01,0.00630716
SRILANKA,2018-06-04,0.00631114
SRILANKA,2018-06-05,0.00632111
SRILANKA,2018-06-06,0.00630517
SRILANKA,2018-06-07,0.00629723
SRILANKA,2018-06-08,0.00628931
SRILANKA,2018-06-11,0.00628536
SRILANKA,2018-06-12,0.00627353
SRILANKA,2018-06-13,0.00626566
SRILANKA,2018-06-14,0.00626959
SRILANKA,2018-06-15,0.00626959
SRILANKA,2018-06-18,0.00625782
SRILANKA,2018-06-19,0.00625391
SRILANKA,2018-06-20,0.00625782
SRILANKA,2018-06-21,0.00627353
SRILANKA,2018-06-22,0.00629327
SRILANKA,2018-06-25,0.00629723
SRILANKA,2018-06-26,0.00631912
SRILANKA,2018-06-27,0.00631912
SRILANKA,2018-06-28,0.00632111
SRILANKA,2018-06-29,0.00632111
SRILANKA,2018-07-02,0.00631712
SRILANKA,2018-07-03,0.00631712
SRILANKA,2018-07-04,0.00630519
SRILANKA,2018-07-05,0.00629327
SRILANKA,2018-07-06,0.00628536
SRILANKA,2018-07-09,0.00627943
SRILANKA,2018-07-10,0.00628141
SRILANKA,2018-07-11,0.00627746
SRILANKA,2018-07-12,0.00627746
SRILANKA,2018-07-13,0.00627156
SRILANKA,2018-07-16,0.00626174
SRILANKA,2018-07-17,0.00625782
SRILANKA,2018-07-18,0.00625782
SRILANKA,2018-07-19,0.00625586
SRILANKA,2018-07-20,0.00625586
SRILANKA,2018-07-23,0.00627353
SRILANKA,2018-07-24,0.00627549
SRILANKA,2018-07-25,0.00626959
SRILANKA,2018-07-26,0.00626959
SRILANKA,2018-07-27,0.00626959
SRILANKA,2018-07-30,0.00626763
SRILANKA,2018-07-31,0.00626763
SRILANKA,2018-08-01,0.00627353
SRILANKA,2018-08-02,0.00626566
SRILANKA,2018-08-03,0.00626174
SRILANKA,2018-08-06,0.0062637
SRILANKA,2018-08-07,0.0062637
SRILANKA,2018-08-08,0.00625978
SRILANKA,2018-08-09,0.00625586
SRILANKA,2018-08-10,0.00625586
SRILANKA,2018-08-13,0.00625391
SRILANKA,2018-08-14,0.00624805
SRILANKA,2018-08-15,0.00624805
SRILANKA,2018-08-16,0.00623441
SRILANKA,2018-08-17,0.00623636
